,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,0,"Gov. Doug Ducey asks President Donald Trump for $600M for sewer, road, water projects http://azc.cc/2lFO6uG  via @azcentral",2017-03-03 14:38:08,0,0,837794247721918464,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0257777777778,0.0815
1,1,1,1,Donald Trump's Attempt To Shift Russia Focus To Chuck Schumer Is More Than A Little Desperate http://www.huffingtonpost.com/entry/donald-trump-chuck-schumer-russia_us_58b9b656e4b05cf0f40060d4 …,2017-03-03 13:10:05,0,0,837772088370876416,"{'neg': 0.131, 'neu': 0.869, 'pos': 0.0, 'compound': -0.3117}",0.0257777777778,0.0815
2,2,2,2,"Hey Sean Spicer, where did Donald Trump get the money to finance his campaign? http://www.dailykos.com/story/2017/3/2/1639375/-Hey-Sean-Spicer-where-did-Donald-Trump-get-the-money-to-finance-his-campaign …",2017-03-03 12:54:42,1,0,837768215899971584,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0257777777778,0.0815
3,3,3,3,@amandagerhart13 You'll find someone my nigga... if this nigga Donald trump kan then so kan u.,2017-03-03 12:43:52,1,0,837765490885865472,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0257777777778,0.0815
4,4,4,4,Donald Trump and Jeff Sessions met Russian Ambassador in Washington DC in April 2016 http://www.palmerreport.com/opinion/donald-trump-and-jeff-sessions-met-russian-ambassador-in-washington-dc-in-april-2016/1745/ … via @PalmerReport. Traitors!,2017-03-03 12:11:15,0,0,837757282125389824,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0257777777778,0.0815
5,5,5,5,Trump-Russia conspirator J.D. Gordon begins ratting out Donald Trump http://www.palmerreport.com/opinion/trump-russia-conspirator-j-d-gordon-begins-ratting-donald-trump/1747/ … via @PalmerReport. ALL TRAITORS!,2017-03-03 12:10:22,0,0,837757058027937792,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0257777777778,0.0815
6,6,6,6,Why Vladimir Putin’s Russia Is Backing Donald Trump http://www.newsweek.com/donald-trump-vladimir-putin-russia-hillary-clinton-united-states-europe-516895 …,2017-03-03 11:49:53,1,2,837751903609987072,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.0258}",0.0257777777778,0.0815
7,7,7,7,Palantir (Trump's advisor) provides engine 4 Donald Trump's deportation machine http://ln.is/theintercept.com/201/q2rQ2 … by@spencerwoodman #ICE #Immigration,2017-03-03 09:51:31,0,0,837722115839262721,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0257777777778,0.0815
8,8,8,8,"Donald Trump’s Speech, Syria, Samsung: Your Morning Briefing - The New York Times https://apple.news/AKQQoUtxbRw6rzVB27ubaig …",2017-03-03 08:47:52,0,0,837706100950495232,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0257777777778,0.0815
9,9,9,9,“Master Negotiator” Donald Trump Lies About then Fails On Keystone XL Steel http://content.sierraclub.org/press-releases/2017/03/master-negotiator-donald-trump-lies-about-then-fails-keystone-xl-steel#.WLmdP5at5o0.twitter …,2017-03-03 08:43:47,0,0,837705070032539648,"{'neg': 0.337, 'neu': 0.663, 'pos': 0.0, 'compound': -0.6808}",0.0257777777778,0.0815
10,10,10,10,Homeland Security Still Doesn't Think Donald Trump's Immigration Order Will Work - The Huffington Post https://apple.news/AKGzckfj3QzyVuPXEflc7UQ …,2017-03-03 08:42:08,0,0,837704657099091968,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.34}",0.0257777777778,0.0815
11,11,11,11,Vietnam absentee Donald Trump's military look raises eyebrows https://www.theguardian.com/us-news/2017/mar/02/donald-trump-military-look-jacket-cap?CMP=share_btn_tw … #Trump #DraftDodger #Poseur,2017-03-03 07:08:06,3,3,837680990176718848,"{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.2732}",0.0257777777778,0.0815
12,12,12,12,Did Donald Trump just sink Jeff Sessions? http://www.msnbc.com/the-last-word/watch/did-donald-trump-just-sink-jeff-sessions-889121859656 … via @msnbc,2017-03-03 01:15:34,1,0,837592273944600576,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0257777777778,0.0815
13,13,13,13,Donald Trump still silent a day after Russia bombs and kills U.S. backed troops in Syria http://fb.me/6gAbJ7naW ,2017-03-02 21:59:29,0,0,837542926641061888,"{'neg': 0.188, 'neu': 0.753, 'pos': 0.059, 'compound': -0.5267}",0.0257777777778,0.0815
14,14,14,14,Michael Flynn revealed the war between Donald Trump and the deep state https://youtu.be/KUtL6Z13G4o  via @YouTube,2017-03-02 19:57:06,0,0,837512128433127425,"{'neg': 0.218, 'neu': 0.782, 'pos': 0.0, 'compound': -0.5994}",0.0257777777778,0.0815
15,15,15,15,The nearly indestructible bond between Jeff Sessions and Donald Trump https://wpo.st/PWse2 ,2017-03-02 18:35:52,0,0,837491687869947904,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.1531}",0.0257777777778,0.0815
16,16,16,16,Donald Trump is a TRAITOR. He sold the U.S. to no doubt cover up a corrupt money trail. https://twitter.com/Russian_Starr/status/837281104382021637 …,2017-03-02 18:15:08,0,0,837486466628374532,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.5719}",0.0257777777778,0.0815
17,17,17,17,Kathy Griffin: President Donald Trump Is So Embarrassing | Hardball | MSNBC https://youtu.be/HBb1794sin0  via @YouTube,2017-03-02 16:07:17,0,0,837454293611356160,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.4391}",0.0257777777778,0.0815
